"cell_id","admin_level","admin_id","admin_name","parent_id"
268875,"ADM0","Kazakhstan","KAZ",NA
268875,"ADM1","KAZ005","Almaty Region","Kazakhstan"
268875,"ADM2","KAZ005002","Enbekshikazakh District","KAZ005"
268875,"ADM2","KAZ005005","Kegen District","KAZ005"
268876,"ADM0","Kazakhstan","KAZ",NA
268876,"ADM1","KAZ005","Almaty Region","Kazakhstan"
268876,"ADM2","KAZ005002","Enbekshikazakh District","KAZ005"
268876,"ADM2","KAZ005005","Kegen District","KAZ005"
268877,"ADM0","Kazakhstan","KAZ",NA
268877,"ADM1","KAZ005","Almaty Region","Kazakhstan"
268877,"ADM2","KAZ005002","Enbekshikazakh District","KAZ005"
268877,"ADM2","KAZ005005","Kegen District","KAZ005"
268877,"ADM2","KAZ005009","Uygur District","KAZ005"
268878,"ADM0","Kazakhstan","KAZ",NA
268878,"ADM1","KAZ005","Almaty Region","Kazakhstan"
268878,"ADM2","KAZ005009","Uygur District","KAZ005"
268879,"ADM0","Kazakhstan","KAZ",NA
268879,"ADM1","KAZ005","Almaty Region","Kazakhstan"
268879,"ADM2","KAZ005009","Uygur District","KAZ005"
268880,"ADM0","Kazakhstan","KAZ",NA
268880,"ADM1","KAZ005","Almaty Region","Kazakhstan"
268880,"ADM2","KAZ005007","Raiymbek District","KAZ005"
268880,"ADM2","KAZ005009","Uygur District","KAZ005"
268881,"ADM0","Kazakhstan","KAZ",NA
268881,"ADM1","KAZ005","Almaty Region","Kazakhstan"
268881,"ADM2","KAZ005007","Raiymbek District","KAZ005"
268881,"ADM2","KAZ005009","Uygur District","KAZ005"
268882,"ADM0","Kazakhstan","KAZ",NA
268882,"ADM1","KAZ005","Almaty Region","Kazakhstan"
268882,"ADM2","KAZ005007","Raiymbek District","KAZ005"
268882,"ADM2","KAZ005009","Uygur District","KAZ005"
268883,"ADM0","Kazakhstan","KAZ",NA
268883,"ADM1","KAZ005","Almaty Region","Kazakhstan"
268883,"ADM2","KAZ005007","Raiymbek District","KAZ005"
268883,"ADM2","KAZ005009","Uygur District","KAZ005"
270302,"ADM0","Kazakhstan","KAZ",NA
270302,"ADM1","KAZ005","Almaty Region","Kazakhstan"
270302,"ADM1","KAZ009","Jambyl Region","Kazakhstan"
270302,"ADM2","KAZ005010","Zhambyl District","KAZ005"
